epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7047,1.62756,2.19653,1.91359,0.50009,0.61272,0.56199,0.2065,2.11335,3.76507,2.95175,0.000550324,0.000550324,0.000550324
2,125.602,1.63619,1.64538,1.88822,0.40108,0.2575,0.20564,0.06942,2.47541,3.81504,3.33692,0.00109504,0.00109504,0.00109504
3,186.436,1.66826,1.67557,1.88976,0.28357,0.33623,0.23235,0.08022,2.14163,3.01801,2.77049,0.00162876,0.00162876,0.00162876
4,247.319,1.64973,1.6189,1.89573,0.40958,0.55969,0.44314,0.15061,2.23095,2.88902,2.961,0.00161749,0.00161749,0.00161749
5,308.316,1.60106,1.5012,1.82167,0.62583,0.48292,0.52903,0.24239,1.93332,1.75257,2.40066,0.00160099,0.00160099,0.00160099
6,369.711,1.55377,1.41519,1.79087,0.72123,0.62586,0.65647,0.28218,1.97143,1.5644,2.59613,0.00158448,0.00158448,0.00158448
7,430.938,1.52317,1.38576,1.77387,0.80219,0.74321,0.82413,0.42978,1.69219,1.28051,2.23779,0.00156798,0.00156798,0.00156798
8,491.972,1.50204,1.32517,1.75068,0.77116,0.74091,0.79972,0.38991,1.80206,1.19165,2.37683,0.00155148,0.00155148,0.00155148
9,553.183,1.51024,1.30364,1.73268,0.73246,0.75094,0.76231,0.42099,1.57576,1.20852,2.11648,0.00153497,0.00153497,0.00153497
10,614.631,1.44919,1.24173,1.70277,0.75812,0.73606,0.79261,0.39274,1.74063,1.15526,2.24943,0.00151847,0.00151847,0.00151847
11,675.726,1.43089,1.22187,1.68843,0.77934,0.75731,0.83982,0.46375,1.6077,1.01066,2.12125,0.00150197,0.00150197,0.00150197
12,737.066,1.44883,1.21531,1.69048,0.76446,0.75747,0.84231,0.45158,1.60922,1.12962,2.15843,0.00148546,0.00148546,0.00148546
13,798.312,1.43327,1.18997,1.67343,0.8142,0.80782,0.84107,0.47023,1.5458,0.9845,2.07276,0.00146896,0.00146896,0.00146896
14,859.589,1.42207,1.17196,1.66118,0.74987,0.78523,0.83294,0.40476,1.72114,1.08024,2.29379,0.00145246,0.00145246,0.00145246
15,920.823,1.40457,1.13023,1.6513,0.83866,0.83092,0.8917,0.48191,1.56317,0.87357,2.06183,0.00143595,0.00143595,0.00143595
16,982.282,1.38418,1.13764,1.65206,0.84112,0.76786,0.88316,0.50545,1.53367,0.98238,2.02295,0.00141945,0.00141945,0.00141945
17,1043.51,1.36402,1.10716,1.63283,0.79785,0.77654,0.84237,0.47111,1.59598,1.00898,2.09912,0.00140295,0.00140295,0.00140295
18,1104.81,1.35148,1.09886,1.62499,0.87294,0.79908,0.89956,0.52412,1.49557,0.8569,2.00557,0.00138644,0.00138644,0.00138644
19,1166.17,1.352,1.04625,1.60859,0.84887,0.82801,0.87628,0.45912,1.6456,0.93307,2.15262,0.00136994,0.00136994,0.00136994
20,1227.6,1.32666,1.02256,1.59259,0.78375,0.79932,0.84032,0.45869,1.57876,0.94954,2.10643,0.00135344,0.00135344,0.00135344
21,1288.89,1.34522,1.0443,1.61708,0.82909,0.85567,0.88873,0.50706,1.53152,0.84374,2.05267,0.00133693,0.00133693,0.00133693
22,1350.1,1.34184,1.02658,1.61245,0.85137,0.82399,0.89021,0.49103,1.5949,0.89553,2.09398,0.00132043,0.00132043,0.00132043
23,1411.4,1.30779,1.00762,1.57863,0.86148,0.8692,0.91646,0.51598,1.52736,0.86263,2.02714,0.00130393,0.00130393,0.00130393
24,1472.59,1.30159,1.00619,1.57044,0.84088,0.80798,0.89086,0.50499,1.55813,0.90404,2.05124,0.00128742,0.00128742,0.00128742
25,1534.03,1.31559,0.98683,1.58198,0.81414,0.82746,0.87819,0.50479,1.49595,0.8955,1.99972,0.00127092,0.00127092,0.00127092
26,1595.42,1.28357,0.95456,1.57248,0.892,0.84022,0.92571,0.51313,1.54461,0.81772,2.04511,0.00125442,0.00125442,0.00125442
27,1656.75,1.2759,0.96934,1.5584,0.84062,0.84982,0.89871,0.50889,1.55574,0.86572,2.04951,0.00123791,0.00123791,0.00123791
28,1718.11,1.28036,0.9751,1.56155,0.86615,0.87469,0.9197,0.53631,1.47677,0.76688,1.98081,0.00122141,0.00122141,0.00122141
29,1779.76,1.2862,0.94329,1.548,0.85743,0.83046,0.90481,0.52977,1.44327,0.80835,1.94732,0.00120491,0.00120491,0.00120491
30,1841.01,1.23688,0.93438,1.53222,0.88608,0.85342,0.9317,0.53355,1.44023,0.79767,1.93616,0.0011884,0.0011884,0.0011884
31,1902.21,1.24459,0.90847,1.52852,0.83844,0.85963,0.90532,0.51684,1.53153,0.78149,2.03409,0.0011719,0.0011719,0.0011719
32,1963.66,1.24737,0.91883,1.51934,0.88039,0.88641,0.9444,0.55502,1.45598,0.72474,1.95663,0.0011554,0.0011554,0.0011554
33,2025.11,1.24346,0.89979,1.53009,0.85685,0.89119,0.9318,0.55252,1.43007,0.74068,1.92897,0.00113889,0.00113889,0.00113889
34,2086.5,1.24126,0.89183,1.51301,0.90026,0.81591,0.90056,0.5206,1.50578,0.80256,1.99748,0.00112239,0.00112239,0.00112239
35,2147.83,1.23969,0.87972,1.51857,0.86956,0.86975,0.92372,0.54469,1.46048,0.75365,1.96883,0.00110589,0.00110589,0.00110589
36,2209.15,1.23217,0.88745,1.51525,0.82887,0.89344,0.90665,0.53665,1.4396,0.75528,1.94896,0.00108938,0.00108938,0.00108938
37,2270.43,1.20862,0.86646,1.5014,0.88568,0.89574,0.91426,0.55019,1.43036,0.71412,1.94008,0.00107288,0.00107288,0.00107288
