epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.366,1.47047,7.15089,0.02932,0.41914,0.5098,0.41641,0.1585,2.01397,2.5237,0.06317,0.000551669,0.000551669,0.000551669
2,255.945,1.7404,2.29033,0.03647,0.44539,0.51243,0.45174,0.16896,1.99156,2.33484,0.0609,0.00109637,0.00109637,0.00109637
3,380.017,1.79074,2.17337,0.03702,0.41227,0.42109,0.34623,0.10858,2.19646,4.01068,0.0679,0.00163007,0.00163007,0.00163007
4,503.78,1.792,1.9591,0.03702,0.48742,0.46904,0.42979,0.15594,2.19423,2.26112,0.0667,0.00161749,0.00161749,0.00161749
5,627.879,1.75149,1.8224,0.03659,0.55071,0.55018,0.52628,0.21063,2.02499,2.37128,0.06245,0.00160099,0.00160099,0.00160099
6,751.974,1.78513,1.70414,0.03805,0.66351,0.59956,0.66531,0.29381,1.95578,2.13112,0.06223,0.00158448,0.00158448,0.00158448
7,876.014,1.71646,1.63743,0.03501,0.59521,0.63224,0.62927,0.27296,1.96401,1.62125,0.06169,0.00156798,0.00156798,0.00156798
8,1000.89,1.6767,1.5096,0.03461,0.68019,0.64139,0.67526,0.26165,2.23132,1.66709,0.07459,0.00155148,0.00155148,0.00155148
9,1126.92,1.66796,1.48761,0.03428,0.66512,0.62296,0.68159,0.29532,1.98489,1.50527,0.06081,0.00153497,0.00153497,0.00153497
10,1252.92,1.64386,1.40338,0.03368,0.63676,0.67737,0.6987,0.33965,1.78975,1.47743,0.05316,0.00151847,0.00151847,0.00151847
11,1379.02,1.63501,1.39203,0.03355,0.76657,0.73825,0.80215,0.41013,1.7619,1.18002,0.05403,0.00150197,0.00150197,0.00150197
12,1505.23,1.61065,1.38192,0.03338,0.70959,0.65204,0.70224,0.30372,1.92606,1.99998,0.05894,0.00148546,0.00148546,0.00148546
